read_id,length,mean_qscore,gc_percent,status,reason
@SRR13182871.1,169,24.3,34.91,REJECTED,Low average quality score (Q24.3 < Q30)
@SRR13182871.2,48,26.2,47.92,REJECTED,Read length too short (48bp < 100bp cutoff)
@SRR13182871.3,151,18.8,34.44,REJECTED,Low average quality score (Q18.8 < Q30)
@SRR13182871.4,221,20.9,35.29,REJECTED,Low average quality score (Q20.9 < Q30)
@SRR13182871.5,184,25.0,35.87,REJECTED,Low average quality score (Q25.0 < Q30)
@SRR13182871.6,67,31.1,41.79,REJECTED,Read length too short (67bp < 100bp cutoff)
@SRR13182871.7,109,31.7,31.19,ACCEPTED,
@SRR13182871.8,173,18.8,31.21,REJECTED,Low average quality score (Q18.8 < Q30)
@SRR13182871.9,100,33.8,39.0,ACCEPTED,
@SRR13182871.10,121,35.0,47.11,ACCEPTED,
@SRR13182871.11,194,27.7,37.63,REJECTED,Low average quality score (Q27.7 < Q30)
@SRR13182871.12,145,36.0,41.38,ACCEPTED,
@SRR13182871.13,50,35.5,40.0,REJECTED,Read length too short (50bp < 100bp cutoff)
@SRR13182871.14,105,35.7,33.33,ACCEPTED,
@SRR13182871.15,66,37.1,37.88,REJECTED,Read length too short (66bp < 100bp cutoff)
@SRR13182871.16,188,34.6,35.11,ACCEPTED,
@SRR13182871.17,57,34.4,49.12,REJECTED,Read length too short (57bp < 100bp cutoff)
@SRR13182871.18,260,34.0,40.0,ACCEPTED,
@SRR13182871.19,1,0.0,0.0,REJECTED,Read length too short (1bp < 100bp cutoff)
@SRR13182871.20,1,0.0,0.0,REJECTED,Read length too short (1bp < 100bp cutoff)
@SRR13182871.21,181,26.6,43.09,REJECTED,Low average quality score (Q26.6 < Q30)
@SRR13182871.22,81,37.8,37.04,REJECTED,Read length too short (81bp < 100bp cutoff)
@SRR13182871.23,211,37.8,43.6,ACCEPTED,
@SRR13182871.24,95,37.7,36.84,REJECTED,Read length too short (95bp < 100bp cutoff)
@SRR13182871.25,89,37.5,35.96,REJECTED,Read length too short (89bp < 100bp cutoff)
@SRR13182871.26,163,37.8,34.36,ACCEPTED,
@SRR13182871.27,123,36.8,38.21,ACCEPTED,
@SRR13182871.28,255,36.0,46.67,ACCEPTED,
@SRR13182871.29,42,37.5,33.33,REJECTED,Read length too short (42bp < 100bp cutoff)
@SRR13182871.30,74,37.4,32.43,REJECTED,Read length too short (74bp < 100bp cutoff)
@SRR13182871.31,53,37.6,35.85,REJECTED,Read length too short (53bp < 100bp cutoff)
@SRR13182871.32,92,37.5,29.35,REJECTED,Read length too short (92bp < 100bp cutoff)
@SRR13182871.33,198,37.9,35.35,ACCEPTED,
@SRR13182871.34,186,30.9,40.32,ACCEPTED,
@SRR13182871.35,35,37.4,34.29,REJECTED,Read length too short (35bp < 100bp cutoff)
@SRR13182871.36,86,35.8,32.56,REJECTED,Read length too short (86bp < 100bp cutoff)
@SRR13182871.37,69,37.3,40.58,REJECTED,Read length too short (69bp < 100bp cutoff)
@SRR13182871.38,80,36.6,36.25,REJECTED,Read length too short (80bp < 100bp cutoff)
@SRR13182871.39,145,36.9,33.1,ACCEPTED,
@SRR13182871.40,186,36.6,37.63,ACCEPTED,
@SRR13182871.41,159,36.6,37.74,ACCEPTED,
@SRR13182871.42,244,37.8,37.3,ACCEPTED,
@SRR13182871.43,176,37.8,35.23,ACCEPTED,
@SRR13182871.44,259,37.0,39.38,ACCEPTED,
@SRR13182871.45,271,35.7,36.53,ACCEPTED,
@SRR13182871.46,260,36.4,48.46,ACCEPTED,
@SRR13182871.47,100,36.3,37.0,ACCEPTED,
@SRR13182871.48,137,34.7,35.04,ACCEPTED,
@SRR13182871.49,53,29.0,39.62,REJECTED,Read length too short (53bp < 100bp cutoff)
@SRR13182871.50,1,0.0,0.0,REJECTED,Read length too short (1bp < 100bp cutoff)
@SRR13182871.51,166,37.9,36.75,ACCEPTED,
@SRR13182871.52,89,37.7,38.2,REJECTED,Read length too short (89bp < 100bp cutoff)
@SRR13182871.53,118,37.4,43.22,ACCEPTED,
@SRR13182871.54,45,29.1,42.22,REJECTED,Read length too short (45bp < 100bp cutoff)
@SRR13182871.55,144,35.3,38.89,ACCEPTED,
@SRR13182871.56,146,37.7,37.67,ACCEPTED,
@SRR13182871.57,174,37.8,28.74,ACCEPTED,
@SRR13182871.58,233,35.9,39.06,ACCEPTED,
@SRR13182871.59,209,37.9,35.89,ACCEPTED,
@SRR13182871.60,1,0.0,0.0,REJECTED,Read length too short (1bp < 100bp cutoff)
@SRR13182871.61,90,37.7,33.33,REJECTED,Read length too short (90bp < 100bp cutoff)
@SRR13182871.62,1,0.0,0.0,REJECTED,Read length too short (1bp < 100bp cutoff)
@SRR13182871.63,166,36.1,41.57,ACCEPTED,
@SRR13182871.64,176,37.8,31.82,ACCEPTED,
@SRR13182871.65,264,37.3,38.64,ACCEPTED,
@SRR13182871.66,127,34.7,40.94,ACCEPTED,
@SRR13182871.67,179,37.9,48.6,ACCEPTED,
@SRR13182871.68,100,37.8,36.0,ACCEPTED,
@SRR13182871.69,241,37.8,38.59,ACCEPTED,
@SRR13182871.70,151,37.7,47.68,ACCEPTED,
@SRR13182871.71,141,37.7,34.04,ACCEPTED,
@SRR13182871.72,246,20.8,52.85,REJECTED,Low average quality score (Q20.8 < Q30)
@SRR13182871.73,39,37.5,43.59,REJECTED,Read length too short (39bp < 100bp cutoff)
@SRR13182871.74,93,37.8,39.78,REJECTED,Read length too short (93bp < 100bp cutoff)
@SRR13182871.75,1,0.0,0.0,REJECTED,Read length too short (1bp < 100bp cutoff)
@SRR13182871.76,285,30.0,38.6,ACCEPTED,
@SRR13182871.77,260,35.8,50.38,ACCEPTED,
@SRR13182871.78,202,37.5,34.16,ACCEPTED,
@SRR13182871.79,266,30.6,36.47,ACCEPTED,
@SRR13182871.80,66,37.2,42.42,REJECTED,Read length too short (66bp < 100bp cutoff)
@SRR13182871.81,97,37.6,41.24,REJECTED,Read length too short (97bp < 100bp cutoff)
@SRR13182871.82,159,36.2,39.62,ACCEPTED,
@SRR13182871.83,181,36.7,37.02,ACCEPTED,
@SRR13182871.84,104,37.8,58.65,ACCEPTED,
@SRR13182871.85,174,35.3,37.93,ACCEPTED,
@SRR13182871.86,297,36.9,39.73,ACCEPTED,
@SRR13182871.87,153,37.7,40.52,ACCEPTED,
@SRR13182871.88,95,37.7,37.89,REJECTED,Read length too short (95bp < 100bp cutoff)
@SRR13182871.89,1,0.0,0.0,REJECTED,Read length too short (1bp < 100bp cutoff)
@SRR13182871.90,113,37.8,38.05,ACCEPTED,
@SRR13182871.91,81,36.7,38.27,REJECTED,Read length too short (81bp < 100bp cutoff)
@SRR13182871.92,198,36.1,36.36,ACCEPTED,
@SRR13182871.93,105,37.5,32.38,ACCEPTED,
@SRR13182871.94,166,37.2,38.55,ACCEPTED,
@SRR13182871.95,200,37.8,31.0,ACCEPTED,
@SRR13182871.96,213,37.9,39.91,ACCEPTED,
@SRR13182871.97,231,29.2,41.13,REJECTED,Low average quality score (Q29.2 < Q30)
@SRR13182871.98,126,34.5,45.24,ACCEPTED,
@SRR13182871.99,124,37.2,45.97,ACCEPTED,
@SRR13182871.100,42,35.7,28.57,REJECTED,Read length too short (42bp < 100bp cutoff)
